id,created_at,updated_at,manufacturer_id,processor_family_id,microarchitecture_id,code_name_id,technology_id,cache_on_id,cache_off_id,die_photo_id,model,date,clock,max_clock,hw_nthreadspercore,hw_ncores,tdp,source,bus_width,transistors,die_size,vdd_low,vdd_high
1024,02:02.2,08:49.5,9,106,,,73,2,2,27,,01/11/1971,0.108,,1,1,0.5,Horowitz spreadsheet,4,0.0023,12,15,15
1025,02:02.3,08:50.3,9,107,,,73,2,2,28,,01/04/1972,0.2,,1,1,1,Horowitz spreadsheet,8,0.0035,16,5,5
1026,02:02.3,08:51.1,9,108,,,74,2,2,29,,01/04/1974,2,,1,1,0.8,Horowitz spreadsheet,8,0.006,20,5,5
1444,02:19.2,09:11.7,26,160,,,,2,2,60,,01/07/1976,2.5,,1,1,0.8,Horowitz spreadsheet,8,0.0085,18,5,5
1027,02:02.4,02:02.4,9,109,,,55,2,2,,,01/06/1978,5,,1,1,1.7,Horowitz spreadsheet,16,0.029,33,5,5
1028,02:02.4,02:02.4,9,109,,,55,2,2,,,01/07/1978,8,,1,1,1.8,Horowitz spreadsheet,,,33,5,5
1029,02:02.4,02:02.4,9,109,,,55,2,2,,,01/08/1978,10,,1,1,1.8,Horowitz spreadsheet,,,33,5,5
1030,02:02.5,08:51.9,9,110,,,55,2,2,30,,01/06/1979,8,,1,1,1.8,Horowitz spreadsheet,8,0.029,33,5,5
1382,02:16.6,02:16.6,10,135,65,,79,2,2,,,01/09/1979,14,,1,1,,Horowitz spreadsheet,16,0.068,44,5,5
1031,02:02.5,08:52.6,9,111,,,56,2,2,31,,01/02/1982,6,,1,1,3.3,Horowitz spreadsheet,16,0.134,47,5,5
1032,02:02.5,08:52.6,9,111,,,56,2,2,31,,01/03/1982,10,,1,1,3.3,Horowitz spreadsheet,,,47,5,5
1033,02:02.6,08:52.6,9,111,,,56,2,2,31,,01/04/1982,12,,1,1,3.3,Horowitz spreadsheet,,,47,5,5
1383,02:16.6,02:16.6,10,136,66,,79,2,2,,,01/06/1983,14,,1,1,1.5,Horowitz spreadsheet,16,0.068,44,5,5
1384,02:16.7,09:10.1,10,137,67,,78,125,2,57,,01/04/1984,25,,1,1,0.72,Horowitz spreadsheet,32,0.19,85,5,5
1034,02:02.6,08:53.3,9,112,55,,56,2,2,32,,01/10/1985,16,,1,1,1.7,Horowitz spreadsheet,32,0.275,103,5,5
1358,02:15.5,09:08.4,17,124,59,,106,2,2,54,,01/01/1986,16,,1,1,3,Horowitz spreadsheet,32,0.11,80,5,5
1035,02:02.6,08:53.3,9,112,55,,57,2,2,32,,01/02/1987,20,,1,1,1.3,Horowitz spreadsheet,,,46,5,5
1385,02:16.7,02:16.7,10,138,68,,77,125,2,,,01/06/1987,50,,1,1,,Horowitz spreadsheet,32,0.27,102,5,5
1036,02:02.7,08:53.4,9,112,55,,57,2,2,32,,01/04/1988,25,,1,1,1.6,Horowitz spreadsheet,,,46,5,5
1359,02:15.6,02:15.6,17,125,60,,86,2,2,,,01/06/1988,40,,1,1,4,Horowitz spreadsheet,32,0.12,56,5,5
1037,02:02.7,08:53.4,9,112,55,,57,2,2,32,,01/04/1989,33,,1,1,2,Horowitz spreadsheet,,,46,5,5
1038,02:02.7,08:54.1,9,113,56,,57,31,2,33,,01/04/1989,25,,1,1,4.5,Horowitz spreadsheet and user corrections,32,1.2,173,5,5
1039,02:02.8,08:54.1,9,113,56,,57,31,2,33,,01/05/1990,33,,1,1,3.5,Horowitz spreadsheet,32,1.2,173,5,5
823,01:53.4,01:53.4,2,46,78,,13,2,2,,CY7C601,01/06/1990,40,,1,1,3,Horowitz spreadsheet,32,0.08,64,5,5
1386,02:16.8,02:16.8,10,139,69,,76,83,2,,,01/01/1991,33,,1,1,6,Horowitz spreadsheet,32,1.2,164,5,5
1040,02:02.8,08:54.1,9,113,56,,58,31,2,33,,01/06/1991,50,,1,1,4,Horowitz spreadsheet,,,76,5,5
